Cause of Death Code,Cause of Death Description,Census Region,Report Date,State,Drug Overdose Death Count
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2011,New Hampshire,84
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2011,New Jersey,293
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2011,New York,758
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2011,Pennsylvania,514
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2011,Rhode Island,57
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2011,Vermont,35
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2012,Connecticut,218
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2012,Maine,50
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2012,Massachusetts,543
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2012,New Hampshire,87
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2012,New Jersey,412
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2012,New York,851
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2012,Pennsylvania,591
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2012,Rhode Island,88
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2012,Vermont,27
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2013,Connecticut,361
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2013,Maine,48
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2013,Massachusetts,673
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2013,New Hampshire,113
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2013,New Jersey,462
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2013,New York,1065
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2013,Pennsylvania,645
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2013,Rhode Island,125
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2013,Vermont,41
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2014,Connecticut,356
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2014,Maine,74
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2014,Massachusetts,867
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2014,New Hampshire,239
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2014,New Jersey,465
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2014,New York,999
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2014,Pennsylvania,782
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2014,Rhode Island,132
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2014,Vermont,40
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2015,Connecticut,409
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2015,Maine,122
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2015,Massachusetts,1266
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2015,New Hampshire,329
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2015,New Jersey,607
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2015,New York,1249
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2015,Pennsylvania,904
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2015,Rhode Island,168
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2015,Vermont,60
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2016,Connecticut,535
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2016,Maine,148
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2016,Massachusetts,1586
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2016,New Hampshire,371
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2016,New Jersey,956
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2016,New York,1829
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2016,Pennsylvania,1587
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2016,Rhode Island,194
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2016,Vermont,80
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2017,Connecticut,548
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2017,Maine,204
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2017,Massachusetts,1434
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2017,New Hampshire,356
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2017,New Jersey,1426
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2017,New York,2037
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2017,Pennsylvania,1829
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2017,Rhode Island,179
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2017,Vermont,90
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2018,Connecticut,521
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2018,Maine,170
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2018,Massachusetts,1370
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2018,New Hampshire,321
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2018,New Jersey,1935
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2018,New York,1885
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2018,Pennsylvania,1954
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2018,Rhode Island,203
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", Northeast,12/31/2018,Vermont,107
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/1999,Connecticut,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/1999,Maine,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/1999,Massachusetts,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/1999,New Hampshire,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/1999,New Jersey,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/1999,New York,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/1999,Pennsylvania,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/1999,Rhode Island,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/1999,Vermont,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/2000,Connecticut,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/2000,Maine,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/2000,Massachusetts,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/2000,New Hampshire,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/2000,New Jersey,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/2000,New York,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/2000,Pennsylvania,
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", Northeast,12/31/2000,Rhode Island,
